mu_0,mu_1,mu_2,n_0,n_1,n_2,sigma_0.2,sigma_1.2,sigma_2.2,nrep,alpha,time0,m0_fwer,time1,m1_fwer,time2,m2_fwer,time3,m3_fwer
0,0,0,10,10,10,900,900,900,1.00E+05,0.025,0.001,0.02507,0,0.02307,0,0.02516,0.275,0.02455
0,0,0,10,10,10,2500,100,100,1.00E+05,0.025,0,0.0476,0,0.01552,0.001,0.02343,0.258,0.02315
0,0,0,10,10,10,100,100,2500,1.00E+05,0.025,0,0.03967,0,0.02397,0.001,0.02507,0.264,0.02419
0,0,0,4,13,13,100,100,2500,1.00E+05,0.025,0.001,0.0045,0,0.02613,0,0.02914,0.267,0.02646
0,0,0,13,13,4,100,100,2500,1.00E+05,0.025,0.001,0.17313,0,0.02651,0,0.02715,0.256,0.02664
0,0,0,4,13,13,2500,100,100,1.00E+05,0.025,0.001,0.19703,0,0.01713,0,0.02436,0.257,0.02501
0,0,0,13,13,4,2500,100,100,1.00E+05,0.025,0,0.02195,0,0.01753,0.001,0.02509,0.238,0.02455
0,20,0,10,10,10,900,900,900,1.00E+05,0.025,0.001,0.01343,0,0.0119,0,0.01307,0.257,0.01253
0,20,0,10,10,10,2500,100,100,1.00E+05,0.025,0,0.03861,0,0.01292,0,0.01943,0.269,0.01927
0,20,0,10,10,10,100,100,2500,1.00E+05,0.025,0,0.03874,0,0.01445,0.001,0.0131,0.265,0.01463
0,20,0,4,13,13,100,100,2500,1.00E+05,0.025,0.001,0.00502,0,0.00828,0,0.01314,0.238,0.00851
0,20,0,13,13,4,100,100,2500,1.00E+05,0.025,0,0.17146,0,0.02479,0.001,0.01554,0.262,0.02482
0,20,0,4,13,13,2500,100,100,1.00E+05,0.025,0,0.1815,0,0.01531,0.001,0.02154,0.262,0.02242
0,20,0,13,13,4,2500,100,100,1.00E+05,0.025,0,0.00414,0,0.01243,0,0.01834,0.256,0.01795
