mu_0,mu_1,mu_2,mu_3,n_0,n_1,n_2,n_3,sigma_0.2,sigma_1.2,sigma_2.2,sigma_3.2,nrep,alpha,time0,m0_fwer,time1,m1_fwer,time2,m2_fwer,time3,m3_fwer
0,0,0,0,10,10,10,10,900,900,900,900,1.00E+05,0.025,0.004,0.02501,0,0.02104,0.004,0.02441,0.442,0.02347
0,0,0,0,10,10,10,10,2500,100,100,100,1.00E+05,0.025,0.004,0.06547,0,0.01234,0.004,0.0241,0.596,0.02371
0,0,0,0,10,10,10,10,100,100,100,2500,1.00E+05,0.025,0.004,0.04882,0,0.02325,0.004,0.02573,0.488,0.02427
0,0,0,0,4,12,12,12,100,100,100,2500,1.00E+05,0.025,0.004,0.01063,0,0.0239,0.004,0.0288,0.37,0.02596
0,0,0,0,12,12,12,4,100,100,100,2500,1.00E+05,0.025,0.004,0.18052,0,0.02636,0.005,0.028,0.463,0.0266
0,0,0,0,4,12,12,12,2500,100,100,100,1.00E+05,0.025,0.004,0.2153,0,0.01301,0.005,0.02323,0.422,0.02341
0,0,0,0,12,12,12,4,2500,100,100,100,1.00E+05,0.025,0.004,0.0425,0,0.01305,0.004,0.02426,0.372,0.02369
0,20,0,0,10,10,10,10,900,900,900,900,1.00E+05,0.025,0.004,0.0182,0,0.01494,0.004,0.01769,0.49,0.0167
0,20,0,0,10,10,10,10,2500,100,100,100,1.00E+05,0.025,0.004,0.06043,0,0.01057,0.004,0.02086,0.436,0.02053
0,20,0,0,10,10,10,10,100,100,100,2500,1.00E+05,0.025,0.004,0.04899,0,0.01761,0.005,0.01825,0.495,0.01828
0,20,0,0,4,12,12,12,100,100,100,2500,1.00E+05,0.025,0.004,0.01045,0,0.01698,0.004,0.02195,0.461,0.01866
0,20,0,0,12,12,12,4,100,100,100,2500,1.00E+05,0.025,0.004,0.18,0,0.02452,0.004,0.02091,0.488,0.02471
0,20,0,0,4,12,12,12,2500,100,100,100,1.00E+05,0.025,0.004,0.20622,0,0.01203,0.006,0.02157,0.478,0.02153
0,20,0,0,12,12,12,4,2500,100,100,100,1.00E+05,0.025,0.004,0.03502,0,0.01184,0.004,0.02172,0.405,0.02105
0,20,20,0,10,10,10,10,900,900,900,900,1.00E+05,0.025,0.004,0.00975,0,0.0076,0.005,0.00911,0.469,0.0086
0,20,20,0,10,10,10,10,2500,100,100,100,1.00E+05,0.025,0.004,0.04984,0,0.00903,0.006,0.01765,0.433,0.01732
0,20,20,0,10,10,10,10,100,100,100,2500,1.00E+05,0.025,0.004,0.0488,0,0.01078,0.004,0.00964,0.497,0.01116
0,20,20,0,4,12,12,12,100,100,100,2500,1.00E+05,0.025,0.004,0.011,0,0.00472,0.004,0.00962,0.459,0.00546
0,20,20,0,12,12,12,4,100,100,100,2500,1.00E+05,0.025,0.005,0.18125,0,0.02261,0.004,0.01197,0.462,0.02285
0,20,20,0,4,12,12,12,2500,100,100,100,1.00E+05,0.025,0.003,0.18837,0.001,0.01092,0.005,0.01866,0.397,0.01886
0,20,20,0,12,12,12,4,2500,100,100,100,1.00E+05,0.025,0.004,0.00957,0,0.00871,0.004,0.01589,0.487,0.01536
